"Date" "VolksWagen" "BMW" "Allianz"
"2014-08-10" 156.264938 73.884163 99.815239
"2014-08-17" 162.062973 76.300125 101.476852
"2014-08-24" 160.743103 75.906044 102.703285
"2014-08-31" 169.03952 78.861748 105.353935
"2014-09-07" 164.797043 76.617119 105.274826
"2014-09-14" 164.184235 76.240158 109.547531
"2014-09-21" 156.406357 73.370125 101.437302
"2014-09-28" 147.732819 71.639534 99.142693
"2014-10-05" 142.076157 68.135513 97.283264
"2014-10-12" 152.682388 69.02652 95.305153
"2014-10-19" 152.399536 70.500092 97.362389
"2014-10-26" 159.988876 73.09597 100.250427
"2014-11-02" 160.790237 71.391083 103.811012
"2014-11-09" 158.716141 71.159767 103.811012
"2014-11-16" 165.928375 75.529083 107.490303
"2014-11-23" 171.490738 78.776077 109.547531
"2014-11-30" 174.88472 79.118759 109.864029
"2014-12-07" 168.002472 75.374878 106.422119
"2014-12-14" 172.103546 77.054054 109.547531
"2014-12-21" 171.679291 77.816544 110.536575
"2014-12-28" 167.766769 75.400574 108.162857
"2015-01-04" 167.295395 75.529083 107.490303
"2015-01-11" 176.864563 80.181107 112.752068
"2015-01-18" 188.272141 88.071564 116.906075
"2015-01-25" 185.868073 88.585609 115.837898
"2015-02-01" 199.585419 91.541313 118.013817
"2015-02-08" 197.699875 92.355202 117.578651
"2015-02-15" 206.279144 95.182404 115.996162
"2015-02-22" 208.683212 96.810188 118.369881
"2015-03-01" 214.009888 98.780663 119.675438
"2015-03-08" 226.925888 102.764442 123.038208
"2015-03-15" 228.434341 100.022911 127.983482
"2015-03-22" 222.400589 99.466042 126.796608
"2015-03-29" 224.191849 98.480797 129.368149
"2015-04-05" 230.791275 100.536949 134.273849
"2015-04-12" 215.518326 94.582695 127.587868
"2015-04-19" 217.969543 94.625526 123.473404
"2015-04-26" 214.292725 90.898766 120.743614
"2015-05-03" 212.454315 93.811646 119.477631
"2015-05-10" 207.402023 87.386192 121.678383
"2015-05-17" 221.129288 92.337738 125.859909
"2015-05-24" 211.447968 88.725281 118.200684
"2015-05-31" 205.475403 87.747276 118.490486
"2015-06-07" 204.415756 88.038025 117.993675
"2015-06-14" 198.780365 86.117264 116.006409
"2015-06-21" 209.376846 91.192314 121.305763
"2015-06-28" 203.067123 87.139328 117.248444
"2015-07-05" 195.938553 83.879318 121.264374
"2015-07-12" 195.264236 84.214127 127.64016
"2015-07-19" 182.596649 80.742645 126.480927
"2015-07-26" 177.298401 80.443085 123.458633
"2015-08-02" 184.523285 81.835197 126.894943
"2015-08-09" 173.396957 75.905495 126.232506
"2015-08-16" 158.94722 70.601357 115.840805
"2015-08-23" 164.245453 73.077217 117.496841
"2015-08-30" 154.082474 70.768761 115.882202
"2015-09-06" 160.151367 75.359222 116.627434
"2015-09-13" 155.431122 75.517815 113.439522
"2015-09-20" 111.311218 69.508812 114.557373
"2015-09-27" 97.439461 68.909676 115.468185
"2015-10-04" 121.281548 77.359283 121.14016
"2015-10-11" 116.75396 76.425331 122.837624
"2015-10-18" 117.380112 82.196442 129.254822
"2015-10-25" 121.474205 82.258118 131.945908
"2015-11-01" 117.428276 84.610611 130.248459
"2015-11-08" 114.104836 83.297806 130.496872
"2015-11-15" 119.354912 87.37722 133.891769
"2015-11-22" 129.325241 89.430153 138.528717
"2015-11-29" 132.263351 86.496132 134.429993
"2015-12-06" 132.552353 82.91893 131.117874
"2015-12-13" 135.056961 85.209747 134.09877
"2015-12-20" 137.946915 86.830948 134.968201
"2015-12-27" 137.079941 86.02034 135.423615
"2016-01-03" 120.46273 73.517754 125.694313
"2016-01-10" 115.935127 68.742264 123.582832
"2016-01-17" 120.414558 70.2313 122.671997
"2016-01-24" 116.175964 67.543999 123.086021
"2016-01-31" 114.490166 63.799389 114.30896
"2016-02-07" 106.542801 61.905048 106.815331
"2016-02-14" 115.068146 65.050522 110.996864
"2016-02-21" 117.765434 65.103394 114.143356
"2016-02-28" 133.419342 72.80407 116.875832
"2016-03-06" 125.664619 69.359024 119.773918
"2016-03-13" 125.182961 71.878937 120.022324
"2016-03-20" 121.811371 70.11676 118.076469
"2016-03-27" 118.825089 68.724648 116.089218
"2016-04-03" 115.935127 65.46463 115.012772
"2016-04-10" 120.270058 69.050652 122.175201
"2016-04-17" 131.637177 72.936234 128.509598
"2016-04-24" 133.274841 70.927361 122.754822
"2016-05-01" 127.061432 66.689339 115.385391
"2016-05-08" 131.155533 64.99765 126.639931
"2016-05-15" 130.529373 65.961395 126.50219
"2016-05-22" 134.91246 69.144478 134.767303
"2016-05-29" 129.999557 66.485779 131.00209
"2016-06-05" 127.20594 65.041435 123.747154
"2016-06-12" 124.460487 63.449902 119.706436
"2016-06-19" 122.919182 63.164715 116.446304
"2016-06-26" 121.480194 62.364342 116.905479
"2016-07-03" 117.334435 62.962318 112.451492
"2016-07-10" 122.974594 68.684502 117.548317
"2016-07-17" 125.433128 69.457268 115.573875
"2016-07-24" 127.89164 70.883209 117.823822
"2016-07-31" 126.831116 71.683578 116.12487
"2016-08-07" 127.747025 73.256714 123.563484
"2016-08-14" 123.312035 71.131599 118.558502
"2016-08-21" 125.674164 71.048805 119.017677
"2016-08-28" 127.072136 72.281548 124.619583
"2016-09-04" 126.975731 70.772812 125.400177
"2016-09-11" 122.299698 67.543739 119.38501
"2016-09-18" 124.420792 69.540062 125.446098
"2016-09-25" 124.517197 68.822487 121.313538
"2016-10-02" 126.204422 71.214394 124.711426
"2016-10-09" 127.168541 70.69001 126.823624
"2016-10-16" 129.096802 72.336746 128.568466
"2016-10-23" 130.784027 73.753494 130.313324
"2016-10-30" 122.974594 69.420464 125.308342
"2016-11-06" 124.083336 73.698296 138.486603
"2016-11-13" 123.456657 74.517059 138.440704
"2016-11-20" 127.843445 76.163803 138.394775
"2016-11-27" 122.974594 73.431511 136.19075
"2016-12-04" 130.012741 81.665176 144.409943
"2016-12-11" 134.640533 82.796738 143.858932
"2016-12-18" 136.761642 82.759941 144.134445
"2016-12-25" 131.844574 81.646782 144.180359
"2017-01-01" 137.484741 83.265923 147.945587
"2017-01-08" 146.306503 80.782013 147.670074
"2017-01-15" 144.474655 80.174843 146.246643
"2017-01-22" 147.559875 80.41404 148.772095
"2017-01-29" 143.606949 77.304558 145.374207
"2017-02-05" 141.148407 78.261314 144.042618
"2017-02-12" 139.654022 78.22451 149.50676
"2017-02-19" 140.714554 77.506943 150.379196
"2017-02-26" 142.064346 80.036842 153.777069
"2017-03-05" 138.545258 76.853775 155.338257
"2017-03-12" 135.845703 76.255798 156.486191
"2017-03-19" 134.977997 75.897003 156.210693
